timestamp,trial_number,acc_loso,run_zscore,run_bandpass,norm_axis,flow,fhigh,lr_exp,lr,epochs,batch_size,n_steps_train,n_steps_eval,temporal_filters,depth_multiplier,pointwise_filters,temporal_kernel_div,separable_kernel_size,pool1_size,pool2_size,dropout,beta,spike_grad_slope
2026-06-13T16:15:02,14,0.555556,False,False,"(1, 3)",8.52978492432517,46.288507622269194,-3.4700964192321937,0.00033877,100,32,4,20,24,2,62,2,15,8,4,0.7430233537871975,0.7601707849345235,38.85839312214989
2026-06-13T16:28:37,16,0.508681,False,False,"(1, 3)",8.168071533218427,91.3796511138348,-3.1922046402526982,0.00064238,100,32,4,20,23,2,57,5,13,8,4,0.5497280974398755,0.7946486949491265,40.90804997077835
2026-06-13T16:40:15,18,0.541667,False,False,"(1, 3)",29.546442138762295,35.45511020174895,-2.4448810380609314,0.0035902,100,32,4,20,10,2,56,3,4,6,8,0.5765794032407057,0.7194777245112566,22.424528836164665
2026-06-13T16:49:12,20,0.555556,False,False,"(1, 3)",5.90844843740253,84.76139351733885,-3.0059480763867046,0.0009864,100,32,4,20,9,2,18,5,14,7,6,0.29833621617084605,0.7072763657007588,49.644668276700074
2026-06-13T17:00:46,26,0.493056,False,False,"(1, 3)",16.068508721187428,96.52558688904092,-2.429738371868234,0.00371759,100,32,4,20,14,2,8,7,16,7,7,0.23393134184778847,0.730299121054184,26.41872478121851
2026-06-13T17:11:53,28,0.564236,False,True,"(1, 2, 3)",10.578075482806858,104.41368687338714,-2.3888518937166685,0.00408459,100,32,4,20,20,1,39,6,15,8,6,0.4947695807895224,0.8252175638458618,29.40830918997958
2026-06-13T17:22:40,29,0.491319,False,True,"(1, 2, 3)",11.13462368855687,106.5222857929289,-2.380130604756664,0.00416744,100,32,4,20,21,1,38,6,21,8,4,0.5227073918044118,0.8879619142126396,14.411606796622635
2026-06-13T17:35:43,33,0.414931,False,True,"(1, 2, 3)",3.148427697038027,109.7755541132853,-2.8498667905227357,0.00141297,100,32,4,20,19,2,15,5,15,7,6,0.4076608758693052,0.8400020667148905,52.96820359817561
2026-06-13T17:46:38,34,0.498264,False,True,"(1, 3)",7.60210164138234,100.22299173628156,-2.1806678987251753,0.00659678,100,32,4,20,14,3,26,5,11,8,7,0.29609320494757074,0.7660262950432082,30.4332357004292
2026-06-13T17:54:41,36,0.552083,False,False,"(1, 2, 3)",3.712181756600838,72.84917592237045,-2.5742180681694213,0.00266552,100,32,4,20,6,1,49,4,11,6,5,0.6805610429323194,0.8075737198403278,5.223042094166175
2026-06-13T18:07:01,38,0.527778,False,False,"(1, 2, 3)",8.369898607231443,60.63197652758208,-2.343666951452636,0.00453245,100,32,4,20,25,1,60,6,18,5,4,0.3073177578943769,0.684043000912259,17.848853023727806
2026-06-13T18:22:52,40,0.532986,False,False,"(1, 2, 3)",24.08234326238327,112.7122679590366,-2.9621607849920815,0.00109104,100,32,4,20,28,2,39,4,22,8,2,0.233507418874846,0.9286329501003663,24.718558954956386
2026-06-13T18:31:18,43,0.586806,False,False,"(1, 2, 3)",3.83189576912945,69.06910886885572,-2.5625029934914174,0.0027384,100,32,4,20,6,1,48,4,11,6,5,0.6820594272804766,0.8134822686428996,17.007672752789944
2026-06-13T18:51:26,50,0.529514,False,False,"(1, 2, 3)",32.296561415938804,76.37981070706043,-2.4775418393853825,0.00333011,100,32,4,20,25,4,58,4,17,6,6,0.5631028040872452,0.8749899522406828,25.216240780575685
2026-06-13T19:04:59,51,0.569444,False,False,"(1, 3)",2.8026856778449485,104.07388947589703,-2.914267912000273,0.00121824,100,32,4,20,17,2,51,3,19,8,5,0.14231369378083294,0.7988217390556858,10.251035558602073
2026-06-13T19:21:57,53,0.572917,False,False,"(1, 3)",1.0648265959659433,114.63545254014971,-2.91537069851642,0.00121515,100,32,4,20,16,2,62,3,15,8,5,0.19710812499698993,0.8319028130033443,14.365757898661137
2026-06-13T19:35:14,54,0.557292,False,False,"(1, 3)",1.5257011390780022,113.13328844238511,-2.915723542231197,0.00121416,100,32,4,20,16,2,62,3,16,8,5,0.20337979265319742,0.8309280355744559,14.886254529642514
2026-06-13T19:48:36,55,0.579861,False,False,"(1, 3)",1.2181203471231958,114.4694488412282,-2.9120034661768393,0.00122461,100,32,4,20,16,2,59,3,24,8,5,0.1965656994620065,0.8295030317141728,15.51777630836019
2026-06-13T20:03:39,57,0.532986,False,False,"(1, 3)",2.559192535081676,112.92163238766815,-3.1172437056356515,0.00076341,100,32,4,20,18,2,54,3,23,3,5,0.10114540345687886,0.9151792388857994,9.39198905244587
2026-06-13T20:16:38,58,0.555556,False,False,"(1, 3)",1.2081861321565215,115.96743425460001,-2.84379169024648,0.00143288,100,32,4,20,15,2,57,3,25,8,5,0.1642141590193653,0.8431829202837692,16.29978408705078
2026-06-13T20:35:21,59,0.569444,False,False,"(1, 3)",37.39818075064261,106.18413222338675,-2.77146682193158,0.00169252,100,32,4,20,21,4,64,2,30,8,6,0.26229723537883887,0.8138085682753499,12.87489243810818
2026-06-13T20:52:12,60,0.578125,False,False,"(1, 3)",38.749675071600144,109.70079124645304,-2.7678316855896328,0.00170674,100,32,4,20,17,4,51,2,30,8,4,0.21295837236543752,0.8098956770468323,13.610513188780004
2026-06-13T21:07:18,61,0.569444,False,False,"(1, 3)",39.67011067352637,108.57521915695176,-2.76275380292089,0.00172682,100,32,4,20,13,4,63,2,30,7,4,0.25710828332619884,0.8671004167266588,13.560520117253933
2026-06-13T21:23:28,63,0.597222,False,False,"(1, 3)",37.75643879216595,100.74203984797775,-2.9533272498967005,0.00111346,100,32,4,20,17,4,50,3,31,8,5,0.13197359722925442,0.7792248177473918,7.122083125077436
2026-06-13T21:40:46,64,0.529514,False,False,"(1, 3)",36.97825626066232,100.26921428926138,-3.029431149517087,0.00093448,100,32,4,20,18,4,48,2,31,8,4,0.20645207937879553,0.7886412681198068,7.656701069084661
2026-06-13T21:58:17,65,0.578125,False,False,"(1, 3)",34.6642466104227,115.97424261449231,-2.604840743771419,0.00248404,100,32,4,20,21,4,57,3,31,8,4,0.12089333796956246,0.7795870433972651,5.522184605665288
2026-06-13T22:13:32,66,0.541667,False,False,"(1, 3)",33.74347784741765,115.80243189477538,-2.618534918351707,0.00240694,100,32,4,20,16,4,56,3,31,7,4,0.11780965562593515,0.7726362261376469,21.501923950053854
2026-06-13T22:25:49,67,0.578125,False,False,"(1, 3)",35.47507579115624,115.71927273723503,-2.4914879657691857,0.00322487,100,32,4,20,14,4,53,4,29,8,4,0.16360705946629028,0.8371854670654939,6.046340954723206
2026-06-13T22:37:39,68,0.586806,False,False,"(1, 3)",35.404986697846994,118.82102164744508,-2.4869292318265765,0.0032589,100,32,4,20,13,4,52,4,29,8,3,0.17317109719809454,0.7457796288642544,8.292168538226974
2026-06-13T22:49:06,69,0.569444,False,False,"(1, 3)",35.19407257707331,119.99433917799051,-2.4752565402323685,0.00334768,100,32,4,20,12,4,52,4,29,8,2,0.16292976720769464,0.7489881695399366,6.333569091385479
2026-06-13T23:01:29,70,0.609375,False,False,"(1, 3)",38.049614030969906,110.03728074147375,-2.301603336058181,0.0049934,100,32,4,20,14,4,49,4,31,7,3,0.12254361594289792,0.7867472203609445,8.27256141278613
2026-06-13T23:13:22,71,0.494792,False,False,"(1, 3)",38.62151747003998,109.27189818667092,-2.094200564846039,0.00805007,100,32,4,20,13,4,43,4,32,7,3,0.12562875151057742,0.7279303617103994,8.786973490051418
2026-06-13T23:24:25,72,0.529514,False,False,"(1, 3)",38.4909527890695,107.29743598829495,-2.3032706516298265,0.00497427,100,32,4,20,11,4,46,4,31,7,3,0.10372078070340801,0.780249623924564,5.096237011087682
2026-06-13T23:36:46,73,0.53125,False,False,"(1, 3)",34.96604287502729,117.53945476283623,-2.523547450427883,0.00299538,100,32,4,20,14,4,49,4,26,8,2,0.14560608950149898,0.7467174084232981,11.905090109357449
2026-06-13T23:49:33,74,0.581597,False,False,"(1, 3)",32.206194622963366,115.84177941850481,-2.418994855992324,0.0038107,100,32,4,20,15,4,50,4,29,8,3,0.1736986207223567,0.7975959954512126,16.511478357248244
2026-06-14T00:03:55,76,0.538194,False,False,"(1, 3)",36.493748898691656,110.07152851530823,-2.240363952894764,0.00574958,100,32,4,20,17,4,46,4,30,8,2,0.1784077297573812,0.8147440829071375,8.736555939366712
2026-06-14T00:20:14,81,0.583333,False,False,"(1, 3)",34.57913402606887,119.81407738062519,-2.7875318893566163,0.00163105,100,32,4,20,16,3,45,3,28,7,3,0.2153020116718774,0.7413232497041968,7.784966162564986
2026-06-14T00:37:20,83,0.600694,False,False,"(1, 3)",34.786588051966696,114.64012342847829,-2.825545129246654,0.00149436,100,32,4,20,19,4,44,3,29,7,3,0.21793871645726604,0.7321880772110836,7.690342886350036
2026-06-14T00:52:00,84,0.512153,False,False,"(1, 3)",27.450738081718075,110.36494127742402,-2.8051730052852606,0.00156613,100,32,4,20,17,3,44,3,27,7,3,0.21838561841428997,0.7369038943614976,11.018821610153578
2026-06-14T01:08:36,85,0.600694,False,False,"(1, 3)",37.91225980248219,113.64764772734198,-2.941574758666195,0.001144,100,32,4,20,19,4,45,3,26,7,3,0.25113794944457324,0.7194371041548229,8.743763653103569
2026-06-14T01:25:13,86,0.59375,False,False,"(1, 3)",33.01270264103711,113.53601306774644,-3.0700008279441726,0.00085114,100,32,4,20,19,4,44,3,24,7,3,0.25310200266988475,0.6651107484332159,7.714616544886588
2026-06-14T01:42:23,88,0.581597,False,False,"(1, 3)",31.102653144867507,112.72789083709436,-2.988840765744373,0.00102603,100,32,4,20,19,4,37,3,29,6,3,0.2880365231386556,0.6702073311529935,8.115696713357046
2026-06-14T02:00:42,92,0.522569,False,False,"(1, 3)",35.934687376751846,113.03047308343865,-2.98362071684984,0.00103843,100,32,4,20,22,3,45,3,29,7,8,0.25715891776906524,0.6974091697332425,7.600050943263606
2026-06-14T02:17:20,93,0.541667,False,False,"(1, 3)",31.80047878823535,112.4058307797596,-2.965406489000474,0.00108291,100,32,4,20,19,4,38,3,29,6,3,0.24094464826761922,0.7617621561518113,9.160205580437555
2026-06-14T02:32:06,94,0.597222,False,False,"(1, 3)",30.4400134724425,107.42715178113012,-3.150848731989693,0.00070656,100,32,4,20,15,4,44,3,24,6,3,0.2773726304789249,0.6739085447451962,7.394928675995776
2026-06-14T02:47:49,98,0.510417,False,False,"(1, 3)",37.65398003440648,117.5811599480248,-2.246737782378987,0.00566581,100,32,4,20,18,4,44,4,26,7,3,0.15496460085516997,0.6141767432924018,17.640436504879116
2026-06-14T03:05:42,100,0.550347,False,False,"(1, 3)",33.81359047276187,107.96495152616303,-2.3851568582367872,0.00411949,100,32,4,20,21,4,40,3,28,7,2,0.2444915900173634,0.7369296965068062,7.05531843178132
2026-06-14T03:23:25,103,0.557292,False,False,"(1, 3)",31.20114738027757,110.73352591881827,-2.9835815424947945,0.00103853,100,32,4,20,19,4,36,3,30,6,3,0.28004797507580564,0.6849812142222732,7.594749026317108
2026-06-14T03:40:55,107,0.567708,False,False,"(1, 3)",32.703996138753205,104.81193672354782,-2.948938347846643,0.00112476,100,32,4,20,17,4,31,3,32,6,3,0.2498483502447586,0.6923408110135929,11.5904974858426
2026-06-14T03:55:35,108,0.545139,False,False,"(1, 3)",37.91698532104922,114.79709173458052,-3.2556083412855936,0.00055513,100,32,4,20,19,4,50,4,29,6,2,0.1381602143621031,0.7656836859463497,5.14641781410971
2026-06-14T04:14:23,,0.548611,False,False,"(1, 3)",38.049614030969906,110.03728074147375,-2.301603336058181,0.0049934,100,32,4,20,14,4,49,4,31,7,3,0.12254361594289792,0.7867472203609445,8.27256141278613
